model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
olmoearth-large,benv2,s2,fft,20,0.0005,0.0001,64,mAP,60.0337,59.3103,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_125624.pt
olmoearth-large,benv2,s2,fft,20,0.0005,1e-05,64,mAP,58.9922,57.3995,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_132616.pt
olmoearth-large,benv2,s2s1,fft,20,0.0005,0.0001,64,mAP,61.0587,59.7477,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260416_134453.pt
olmoearth-large,benv2,s1,fft,20,0.0005,1e-05,64,mAP,48.2848,41.2596,307792915,checkpoints/rsfm_benv2_s1_fft_20260416_134513.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0005,0.0001,64,mAP,50.7470,21.8968,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_135056.pt
olmoearth-large,benv2,s2,fft,20,0.0001,0.0001,64,mAP,67.4825,63.5995,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_135605.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.0005,0.0001,32,mAP,63.6428,57.9793,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_140309.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0005,1e-05,32,mAP,55.2649,23.6097,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_142056.pt
olmoearth-large,benv2,s1,fft,20,0.0001,0.0001,32,mAP,53.4274,49.7205,307792915,checkpoints/rsfm_benv2_s1_fft_20260416_142447.pt
olmoearth-large,benv2,s2s1,fft,20,0.0005,1e-05,32,mAP,59.9804,45.6131,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260416_142518.pt
olmoearth-large,benv2,s2,fft,20,0.0001,1e-05,32,mAP,66.4683,63.7406,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_142735.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.0001,0.0001,32,mAP,64.1729,59.0231,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_143202.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0001,0.0001,32,mAP,60.4271,56.7682,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_145102.pt
olmoearth-base,benv2,s2_rgb,fft,20,0.0001,1e-05,32,mAP,64.8600,58.6390,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_145526.pt
olmoearth-large,benv2,s2,fft,20,5e-05,0.0001,32,mAP,68.4781,64.7256,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_145853.pt
olmoearth-large,benv2,s1,fft,20,0.0001,1e-05,32,mAP,54.0593,53.3105,307792915,checkpoints/rsfm_benv2_s1_fft_20260416_150429.pt
olmoearth-large,benv2,s2s1,fft,20,0.0001,0.0001,32,mAP,68.2994,64.4312,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260416_150558.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0001,1e-05,32,mAP,60.3651,57.0852,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_152110.pt
olmoearth-base,benv2,s2_rgb,fft,20,5e-05,1e-05,32,mAP,66.5176,59.7113,88970515,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_152900.pt
olmoearth-base,dfc2020,s2,fft,20,0.0005,0.0001,32,mIoU,55.9521,51.9090,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260416_154246.pt
olmoearth-base,dfc2020,s1,fft,20,0.0005,0.0001,32,mIoU,48.7846,45.0417,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260416_154705.pt
olmoearth-large,benv2,s2s1,fft,20,0.0001,1e-05,32,mAP,69.3187,65.0340,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260416_154646.pt
olmoearth-large,benv2,s2_rgb,fft,20,5e-05,0.0001,32,mAP,64.0006,60.2764,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_155128.pt
olmoearth-base,dfc2020,s2,fft,20,0.0005,1e-05,32,mIoU,56.6395,52.9756,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260416_155803.pt
olmoearth-base,dfc2020,s2s1,fft,20,0.0005,0.0001,32,mIoU,56.7719,53.0341,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_160032.pt
olmoearth-base,dfc2020,s1,fft,20,0.0005,1e-05,32,mIoU,49.3517,46.0842,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260416_160259.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0005,0.0001,32,mIoU,54.2754,43.0214,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_160829.pt
olmoearth-base,dfc2020,s2,fft,20,0.0001,0.0001,32,mIoU,57.5391,52.6762,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260416_161229.pt
panopticon,eurosat,nir,fft,20,0.0005,0.0001,32,Acc,89.0000,63.3704,98983690,checkpoints/rsfm_eurosat_nir_fft_20260416_161343.pt
panopticon,eurosat,swir,fft,20,0.0005,0.0001,32,Acc,85.6296,86.0741,98983690,checkpoints/rsfm_eurosat_swir_fft_20260416_161528.pt
olmoearth-base,dfc2020,s2s1,fft,20,0.0005,1e-05,32,mIoU,55.8769,51.9312,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_161542.pt
panopticon,eurosat,vre,fft,20,0.0005,0.0001,32,Acc,93.3333,93.4815,98983690,checkpoints/rsfm_eurosat_vre_fft_20260416_161555.pt
panopticon,eurosat,rgb,fft,20,0.0005,0.0001,32,Acc,95.1481,41.0926,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260416_161612.pt
panopticon,benv2,s2,fft,20,0.0005,0.0001,32,mAP,64.7841,59.9885,98990611,checkpoints/rsfm_benv2_s2_fft_20260416_161706.pt
olmoearth-base,dfc2020,s1,fft,20,0.0001,0.0001,32,mIoU,51.1548,49.9784,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260416_161846.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0005,1e-05,32,mIoU,54.0893,41.9674,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_162219.pt
olmoearth-base,dfc2020,s2,fft,20,0.0001,1e-05,32,mIoU,57.6387,52.2545,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260416_162713.pt
panopticon,benv2,s1,fft,20,0.0005,0.0001,32,mAP,53.7688,43.7024,98990611,checkpoints/rsfm_benv2_s1_fft_20260416_163002.pt
olmoearth-base,dfc2020,s2s1,fft,20,0.0001,0.0001,32,mIoU,57.9749,55.5902,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_163114.pt
panopticon,eurosat,nir,fft,20,0.0005,1e-05,32,Acc,91.2222,9.1852,98983690,checkpoints/rsfm_eurosat_nir_fft_20260416_163232.pt
panopticon,eurosat,s2,fft,20,0.0005,0.0001,32,Acc,96.7037,96.6111,98983690,checkpoints/rsfm_eurosat_s2_fft_20260416_163259.pt
olmoearth-base,dfc2020,s1,fft,20,0.0001,1e-05,32,mIoU,51.2090,50.1060,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260416_163441.pt
panopticon,eurosat,swir,fft,20,0.0005,1e-05,32,Acc,84.8889,85.5000,98983690,checkpoints/rsfm_eurosat_swir_fft_20260416_163546.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0001,0.0001,32,mIoU,55.3089,48.1451,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_163610.pt
panopticon,eurosat,vre,fft,20,0.0005,1e-05,32,Acc,92.5556,67.3519,98983690,checkpoints/rsfm_eurosat_vre_fft_20260416_163701.pt
panopticon,eurosat,rgb,fft,20,0.0005,1e-05,32,Acc,97.0000,24.3519,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260416_163726.pt
panopticon,benv2,s2,fft,20,0.0005,1e-05,32,mAP,65.1144,59.3280,98990611,checkpoints/rsfm_benv2_s2_fft_20260416_163950.pt
panopticon,dfc2020,s1,fft,20,0.0005,0.0001,32,mIoU,47.9155,27.8913,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260416_164038.pt
olmoearth-base,dfc2020,s2,fft,20,5e-05,0.0001,32,mIoU,56.8151,52.7377,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260416_164153.pt
panopticon,dfc2020,s2,fft,20,0.0005,0.0001,32,mIoU,54.5531,36.6104,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260416_164206.pt
panopticon,benv2,s2_rgb,fft,20,0.0005,0.0001,32,mAP,60.3938,51.6887,98990611,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_164326.pt
panopticon,benv2,s2s1,fft,20,0.0005,0.0001,32,mAP,66.8096,60.3948,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260416_164436.pt
olmoearth-base,dfc2020,s2s1,fft,20,0.0001,1e-05,32,mIoU,57.6283,54.6371,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_164630.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,0.0001,1e-05,32,mIoU,55.0793,47.4404,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_164959.pt
olmoearth-base,dfc2020,s1,fft,20,5e-05,0.0001,32,mIoU,51.9935,49.3001,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260416_165026.pt
panopticon,eurosat,nir,fft,20,0.0001,0.0001,32,Acc,94.8889,95.4630,98983690,checkpoints/rsfm_eurosat_nir_fft_20260416_165117.pt
panopticon,dfc2020,s1,fft,20,0.0005,1e-05,32,mIoU,48.4881,18.6943,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260416_165232.pt
panopticon,benv2,s1,fft,20,0.0005,1e-05,32,mAP,55.3785,43.4012,98990611,checkpoints/rsfm_benv2_s1_fft_20260416_165357.pt
panopticon,eurosat,swir,fft,20,0.0001,0.0001,32,Acc,94.2963,94.5926,98983690,checkpoints/rsfm_eurosat_swir_fft_20260416_165608.pt
olmoearth-base,dfc2020,s2,fft,20,5e-05,1e-05,32,mIoU,57.0739,52.7965,88962056,checkpoints/rsfm_dfc2020_s2_fft_20260416_165642.pt
panopticon,eurosat,vre,fft,20,0.0001,0.0001,32,Acc,96.8518,97.0741,98983690,checkpoints/rsfm_eurosat_vre_fft_20260416_165754.pt
panopticon,dfc2020,s2,fft,20,0.0005,1e-05,32,mIoU,54.4935,35.7705,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260416_165804.pt
panopticon,eurosat,rgb,fft,20,0.0001,0.0001,32,Acc,97.5185,97.7222,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260416_165828.pt
olmoearth-base,dfc2020,s2s1,fft,20,5e-05,0.0001,32,mIoU,57.8685,55.6417,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_170139.pt
panopticon,benv2,s2,fft,20,0.0001,0.0001,32,mAP,66.6357,58.8729,98990611,checkpoints/rsfm_benv2_s2_fft_20260416_170233.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,5e-05,0.0001,32,mIoU,55.8056,49.5792,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_170402.pt
panopticon,dfc2020,s1,fft,20,0.0001,0.0001,32,mIoU,49.8165,42.4459,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260416_170426.pt
panopticon,benv2,s2_rgb,fft,20,0.0005,1e-05,32,mAP,61.6888,50.8223,98990611,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_170417.pt
olmoearth-base,dfc2020,s1,fft,20,5e-05,1e-05,32,mIoU,51.3237,48.0967,88962056,checkpoints/rsfm_dfc2020_s1_fft_20260416_170626.pt
panopticon,eurosat,nir,fft,20,0.0001,1e-05,32,Acc,94.2593,94.5741,98983690,checkpoints/rsfm_eurosat_nir_fft_20260416_171004.pt
panopticon,benv2,s2s1,fft,20,0.0005,1e-05,32,mAP,66.0679,58.7825,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260416_170947.pt
panopticon,eurosat,s2,fft,20,0.0005,1e-05,32,Acc,96.2593,75.6296,98983690,checkpoints/rsfm_eurosat_s2_fft_20260416_171100.pt
panopticon,dfc2020,s2_rgb,fft,20,0.0005,0.0001,32,mIoU,48.2695,31.2352,98982152,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_171316.pt
panopticon,dfc2020,s2,fft,20,0.0001,0.0001,32,mIoU,53.8455,48.2010,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260416_171329.pt
panopticon,dfc2020,s2s1,fft,20,0.0005,1e-05,32,mIoU,54.2586,39.9059,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_171511.pt
panopticon,dfc2020,s1,fft,20,0.0001,1e-05,32,mIoU,50.1939,45.9794,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260416_171620.pt
olmoearth-base,dfc2020,s2s1,fft,20,5e-05,1e-05,32,mIoU,57.6211,55.2660,88962056,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_171653.pt
panopticon,eurosat,swir,fft,20,0.0001,1e-05,32,Acc,94.6667,94.8889,98983690,checkpoints/rsfm_eurosat_swir_fft_20260416_171700.pt
olmoearth-base,dfc2020,s2_rgb,fft,20,5e-05,1e-05,32,mIoU,56.3229,49.4597,88962056,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_171736.pt
panopticon,eurosat,vre,fft,20,0.0001,1e-05,32,Acc,97.1482,97.5000,98983690,checkpoints/rsfm_eurosat_vre_fft_20260416_171845.pt
panopticon,eurosat,rgb,fft,20,0.0001,1e-05,32,Acc,97.7037,97.7407,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260416_171935.pt
panopticon,dfc2020,s2_rgb,fft,20,0.0005,1e-05,32,mIoU,47.1839,26.3970,98982152,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_172450.pt
panopticon,benv2,s2_rgb,fft,20,0.0001,0.0001,32,mAP,61.8149,56.2805,98990611,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_172519.pt
panopticon,benv2,s2,fft,20,0.0001,1e-05,32,mAP,66.3553,58.5894,98990611,checkpoints/rsfm_benv2_s2_fft_20260416_172516.pt
panopticon,dfc2020,s1,fft,20,5e-05,0.0001,32,mIoU,50.1090,45.1072,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260416_172822.pt
panopticon,eurosat,nir,fft,20,5e-05,0.0001,32,Acc,95.3333,95.4259,98983690,checkpoints/rsfm_eurosat_nir_fft_20260416_172853.pt
panopticon,dfc2020,s2,fft,20,0.0001,1e-05,32,mIoU,54.1945,50.4323,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260416_172853.pt
