model,dataset,modality,train_mode,epochs,lr,weight_decay,batch_size,metric_name,val_metric,test_metric,trainable_params,saved_checkpoint
panopticon,dfc2020,s2s1,fft,20,0.0001,0.0001,32,mIoU,54.4924,51.0188,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_173205.pt
panopticon,benv2,s2s1,fft,20,0.0001,0.0001,32,mAP,66.4881,59.1431,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260416_173500.pt
panopticon,dfc2020,s2_rgb,fft,20,0.0001,0.0001,32,mIoU,52.4966,45.0224,98982152,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_173641.pt
panopticon,eurosat,swir,fft,20,5e-05,0.0001,32,Acc,95.4444,95.5185,98983690,checkpoints/rsfm_eurosat_swir_fft_20260416_173720.pt
panopticon,benv2,s1,fft,20,0.0001,1e-05,32,mAP,56.8645,48.2862,98990611,checkpoints/rsfm_benv2_s1_fft_20260416_173838.pt
panopticon,eurosat,vre,fft,20,5e-05,0.0001,32,Acc,97.2963,97.6481,98983690,checkpoints/rsfm_eurosat_vre_fft_20260416_174027.pt
panopticon,dfc2020,s1,fft,20,5e-05,1e-05,32,mIoU,50.1922,45.8599,98982152,checkpoints/rsfm_dfc2020_s1_fft_20260416_174026.pt
panopticon,eurosat,rgb,fft,20,5e-05,0.0001,32,Acc,98.0741,98.2222,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260416_174112.pt
panopticon,dfc2020,s2,fft,20,5e-05,0.0001,32,mIoU,54.5991,49.8151,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260416_174421.pt
panopticon,benv2,s2_rgb,fft,20,0.0001,1e-05,32,mAP,63.3950,56.3254,98990611,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_174638.pt
panopticon,eurosat,nir,fft,20,5e-05,1e-05,32,Acc,95.4815,96.2222,98983690,checkpoints/rsfm_eurosat_nir_fft_20260416_174736.pt
panopticon,dfc2020,s2_rgb,fft,20,0.0001,1e-05,32,mIoU,52.3982,45.7366,98982152,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_174733.pt
panopticon,benv2,s2,fft,20,5e-05,0.0001,32,mAP,67.4976,62.2143,98990611,checkpoints/rsfm_benv2_s2_fft_20260416_174804.pt
panopticon,dfc2020,s2s1,fft,20,0.0001,1e-05,32,mIoU,55.0247,50.4730,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_174903.pt
panopticon,eurosat,s2,fft,20,0.0001,0.0001,32,Acc,98.0370,98.0741,98983690,checkpoints/rsfm_eurosat_s2_fft_20260416_174853.pt
panopticon,eurosat,swir,fft,20,5e-05,1e-05,32,Acc,95.1852,95.4630,98983690,checkpoints/rsfm_eurosat_swir_fft_20260416_175735.pt
panopticon,dfc2020,s2_rgb,fft,20,5e-05,0.0001,32,mIoU,52.9269,44.9105,98982152,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_175907.pt
panopticon,dfc2020,s2,fft,20,5e-05,1e-05,32,mIoU,54.7326,49.7919,98982152,checkpoints/rsfm_dfc2020_s2_fft_20260416_175949.pt
panopticon,eurosat,vre,fft,20,5e-05,1e-05,32,Acc,97.2222,97.5000,98983690,checkpoints/rsfm_eurosat_vre_fft_20260416_180125.pt
panopticon,benv2,s2s1,fft,20,0.0001,1e-05,32,mAP,66.3306,60.9361,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260416_180040.pt
panopticon,eurosat,rgb,fft,20,5e-05,1e-05,32,Acc,98.2222,98.2963,98983690,checkpoints/rsfm_eurosat_rgb_fft_20260416_180207.pt
panopticon,benv2,s1,fft,20,5e-05,0.0001,32,mAP,56.1257,50.2377,98990611,checkpoints/rsfm_benv2_s1_fft_20260416_180210.pt
panopticon,dfc2020,s2s1,fft,20,5e-05,0.0001,32,mIoU,54.3643,51.2809,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_180607.pt
panopticon,benv2,s2_rgb,fft,20,5e-05,0.0001,32,mAP,63.7000,57.3023,98990611,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_180746.pt
panopticon,dfc2020,s2_rgb,fft,20,5e-05,1e-05,32,mIoU,51.7853,45.0688,98982152,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_181052.pt
panopticon,benv2,s2,fft,20,5e-05,1e-05,32,mAP,67.8633,61.5373,98990611,checkpoints/rsfm_benv2_s2_fft_20260416_181047.pt
panopticon,dfc2020,s2s1,fft,20,5e-05,1e-05,32,mIoU,54.6691,51.4433,98982152,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_182259.pt
panopticon,benv2,s1,fft,20,5e-05,1e-05,32,mAP,56.9480,49.6445,98990611,checkpoints/rsfm_benv2_s1_fft_20260416_182559.pt
panopticon,eurosat,s2,fft,20,0.0001,1e-05,32,Acc,98.2222,98.3889,98983690,checkpoints/rsfm_eurosat_s2_fft_20260416_182707.pt
panopticon,benv2,s2s1,fft,20,5e-05,0.0001,32,mAP,66.6131,60.0743,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260416_182640.pt
panopticon,benv2,s2_rgb,fft,20,5e-05,1e-05,32,mAP,64.1945,58.3954,98990611,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_182831.pt
olmoearth-base,benv2,s2,fft,20,0.0005,0.0001,32,mAP,65.5553,61.0882,88970515,checkpoints/rsfm_benv2_s2_fft_20260416_183750.pt
olmoearth-base,benv2,s1,fft,20,0.0005,0.0001,32,mAP,53.7656,48.6177,88970515,checkpoints/rsfm_benv2_s1_fft_20260416_185008.pt
panopticon,benv2,s2s1,fft,20,5e-05,1e-05,32,mAP,66.8222,60.7101,98990611,checkpoints/rsfm_benv2_s2s1_fft_20260416_185232.pt
olmoearth-base,benv2,s2s1,fft,20,0.0005,1e-05,32,mAP,67.6959,63.5829,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260416_185417.pt
olmoearth-large,benv2,s2,fft,20,0.0005,0.0001,32,mAP,58.8132,50.0766,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_185509.pt
olmoearth-base,benv2,s2,fft,20,0.0005,1e-05,32,mAP,65.9550,62.5195,88970515,checkpoints/rsfm_benv2_s2_fft_20260416_185942.pt
olmoearth-large,benv2,s1,fft,20,0.0005,1e-05,32,mAP,48.6339,35.4916,307792915,checkpoints/rsfm_benv2_s1_fft_20260416_190334.pt
olmoearth-large,benv2,s2s1,fft,20,0.0005,0.0001,32,mAP,61.4070,51.7539,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260416_191428.pt
olmoearth-base,benv2,s2s1,fft,20,0.0001,0.0001,32,mAP,69.3689,62.2242,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260416_191511.pt
olmoearth-base,benv2,s2,fft,20,0.0001,0.0001,32,mAP,67.1788,62.0085,88970515,checkpoints/rsfm_benv2_s2_fft_20260416_192133.pt
olmoearth-large,dfc2020,s2,fft,20,0.0005,0.0001,32,mIoU,50.0426,15.0833,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260416_192242.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0005,0.0001,32,mAP,54.2821,26.0054,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_192319.pt
olmoearth-base,benv2,s1,fft,20,0.0001,0.0001,32,mAP,55.0618,49.2535,88970515,checkpoints/rsfm_benv2_s1_fft_20260416_192311.pt
olmoearth-large,benv2,s2,fft,20,0.0005,1e-05,32,mAP,56.5746,50.3975,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_192615.pt
olmoearth-large,benv2,s1,fft,20,0.0001,0.0001,32,mAP,55.3057,53.3117,307792915,checkpoints/rsfm_benv2_s1_fft_20260416_193955.pt
olmoearth-base,benv2,s2s1,fft,20,5e-05,0.0001,32,mAP,68.7406,64.0989,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260416_194220.pt
olmoearth-base,benv2,s2,fft,20,0.0001,1e-05,32,mAP,68.4086,63.4378,88970515,checkpoints/rsfm_benv2_s2_fft_20260416_194329.pt
olmoearth-base,benv2,s1,fft,20,0.0001,1e-05,32,mAP,54.1856,49.8167,88970515,checkpoints/rsfm_benv2_s1_fft_20260416_194524.pt
olmoearth-large,dfc2020,s2,fft,20,0.0005,1e-05,32,mIoU,51.3533,5.6635,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260416_195017.pt
olmoearth-large,benv2,s2s1,fft,20,0.0005,1e-05,32,mAP,59.8004,55.0483,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260416_195217.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0005,1e-05,32,mAP,55.1536,28.3443,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_195246.pt
olmoearth-large,benv2,s2,fft,20,0.0001,0.0001,32,mAP,66.4087,62.8697,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_195722.pt
olmoearth-base,benv2,s2s1,fft,20,5e-05,1e-05,32,mAP,68.7531,62.8563,88970515,checkpoints/rsfm_benv2_s2s1_fft_20260416_200312.pt
olmoearth-base,benv2,s2,fft,20,5e-05,0.0001,32,mAP,68.7597,62.9735,88970515,checkpoints/rsfm_benv2_s2_fft_20260416_200523.pt
olmoearth-base,benv2,s1,fft,20,5e-05,0.0001,32,mAP,55.4922,51.2370,88970515,checkpoints/rsfm_benv2_s1_fft_20260416_200747.pt
olmoearth-large,benv2,s1,fft,20,0.0001,1e-05,32,mAP,54.9872,51.9542,307792915,checkpoints/rsfm_benv2_s1_fft_20260416_201617.pt
olmoearth-large,dfc2020,s2,fft,20,0.0001,0.0001,32,mIoU,57.1884,48.7622,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260416_201804.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0001,0.0001,32,mAP,60.6664,58.2156,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_202231.pt
olmoearth-large,benv2,s2,fft,20,0.0001,1e-05,32,mAP,67.1357,64.2826,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_202832.pt
olmoearth-base,benv2,s1,fft,20,5e-05,1e-05,32,mAP,56.4369,51.8010,88970515,checkpoints/rsfm_benv2_s1_fft_20260416_202955.pt
olmoearth-large,benv2,s2s1,fft,20,0.0001,0.0001,32,mAP,67.7305,64.1462,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260416_203001.pt
olmoearth-large,dfc2020,s2,fft,20,0.0001,1e-05,32,mIoU,57.3610,50.1331,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260416_204550.pt
olmoearth-large,benv2,s2_rgb,fft,20,0.0001,1e-05,32,mAP,61.8088,58.9548,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_205205.pt
olmoearth-large,benv2,s1,fft,20,5e-05,0.0001,32,mAP,57.8432,53.5821,307792915,checkpoints/rsfm_benv2_s1_fft_20260416_205242.pt
olmoearth-large,dfc2020,s1,fft,20,0.0005,0.0001,32,mIoU,45.1664,14.3878,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260416_205736.pt
olmoearth-large,benv2,s2,fft,20,5e-05,0.0001,32,mAP,66.8224,63.9800,307792915,checkpoints/rsfm_benv2_s2_fft_20260416_205935.pt
olmoearth-large,benv2,s2s1,fft,20,0.0001,1e-05,32,mAP,67.7574,64.6010,307792915,checkpoints/rsfm_benv2_s2s1_fft_20260416_210737.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0005,0.0001,32,mIoU,53.5250,14.3243,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_210840.pt
olmoearth-large,dfc2020,s2,fft,20,5e-05,0.0001,32,mIoU,58.0183,50.3419,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260416_211337.pt
olmoearth-large,benv2,s2_rgb,fft,20,5e-05,0.0001,32,mAP,64.6188,59.4534,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_212155.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0005,0.0001,32,mIoU,43.0415,1.3859,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_213055.pt
olmoearth-large,dfc2020,s1,fft,20,0.0005,1e-05,32,mIoU,46.9246,24.0800,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260416_213157.pt
olmoearth-large,dfc2020,s2,fft,20,5e-05,1e-05,32,mIoU,57.3940,51.5324,307781640,checkpoints/rsfm_dfc2020_s2_fft_20260416_214123.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0005,1e-05,32,mIoU,52.7225,6.9251,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_214530.pt
olmoearth-large,benv2,s2_rgb,fft,20,5e-05,1e-05,32,mAP,63.3038,59.7494,307792915,checkpoints/rsfm_benv2_s2_rgb_fft_20260416_215134.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0005,1e-05,32,mIoU,37.2156,14.5367,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_215816.pt
olmoearth-large,dfc2020,s1,fft,20,0.0001,0.0001,32,mIoU,48.9704,44.8771,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260416_220603.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0001,0.0001,32,mIoU,58.4925,53.5618,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_222221.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0001,0.0001,32,mIoU,51.4497,39.7101,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_222552.pt
olmoearth-large,dfc2020,s1,fft,20,0.0001,1e-05,32,mIoU,48.2284,38.3565,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260416_223952.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,0.0001,1e-05,32,mIoU,50.9262,41.2775,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_225323.pt
olmoearth-large,dfc2020,s2s1,fft,20,0.0001,1e-05,32,mIoU,58.3972,53.5206,307781640,checkpoints/rsfm_dfc2020_s2s1_fft_20260416_225920.pt
olmoearth-large,dfc2020,s1,fft,20,5e-05,0.0001,32,mIoU,51.2418,47.9739,307781640,checkpoints/rsfm_dfc2020_s1_fft_20260416_231341.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,5e-05,0.0001,32,mIoU,55.1757,47.5762,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_232051.pt
olmoearth-large,dfc2020,s2_rgb,fft,20,5e-05,1e-05,32,mIoU,54.0833,45.2977,307781640,checkpoints/rsfm_dfc2020_s2_rgb_fft_20260416_234819.pt
olmoearth-large,eurosat,rgb,fft,4,0.0001,1e-05,32,Acc,90.2222,80.3148,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_021418.pt
olmoearth-large,eurosat,rgb,fft,4,5e-05,1e-05,32,Acc,86.1481,22.3889,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_023929.pt
olmoearth-large,eurosat,rgb,fft,4,5e-05,1e-05,32,Acc,89.4074,90.2037,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_025502.pt
olmoearth-large,eurosat,rgb,fft,12,5e-05,1e-05,32,Acc,96.8148,97.0000,307783690,checkpoints/rsfm_eurosat_rgb_fft_20260417_035548.pt
