starting_modality,new_modality,ssl_lr,weight_decay,epochs,mask_ratio,modality_dropout,labeled_frequency,labeled_start_fraction,trainable_params,active_losses,use_mfla,mfla_warmup_epochs,transfer_acc,peeking_acc,addition_acc,addition_ens_acc,valchecked_transfer_acc,valchecked_peek_acc,valchecked_add_acc,valchecked_add_ens_acc,stage0_checkpoint,shote2e_checkpoint
rgb,nir,0.0001,0.01,128,0.75,0.5,0.4,0.5,47172628,all,False,0,77.80,88.39,88.44,90.37,78.46,88.39,89.89,90.37,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
vre,nir,0.0001,0.01,128,0.75,0.5,0.4,0.5,47172628,all,False,0,76.61,90.61,89.35,89.87,77.63,90.61,89.59,89.87,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_nir.pt
vre,rgb,0.0001,0.01,128,0.75,0.5,0.4,0.5,47369492,all,False,0,85.50,90.70,90.15,91.81,85.54,90.70,90.15,91.81,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_rgb.pt
rgb,vre,0.0001,0.01,128,0.75,0.5,0.4,0.5,47369492,all,False,0,82.24,88.30,87.07,89.96,84.24,88.30,87.07,89.96,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
rgb,swir,0.0001,0.01,128,0.75,0.5,0.4,0.5,47369492,all,False,0,81.81,87.83,83.52,90.57,83.57,87.83,83.24,90.57,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
nir,rgb,0.0001,0.01,128,0.75,0.5,0.4,0.5,47172628,all,False,0,78.20,79.70,61.93,84.41,81.09,79.70,67.80,84.41,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
nir,swir,0.0001,0.01,128,0.75,0.5,0.4,0.5,47172628,all,False,0,80.22,78.24,71.70,83.02,79.57,78.04,75.76,83.02,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
vre,swir,0.0001,0.01,128,0.75,0.5,0.4,0.5,47369492,all,False,0,84.76,90.33,89.50,90.94,84.76,90.07,89.87,90.94,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_swir.pt
nir,vre,0.0001,0.01,128,0.75,0.5,0.4,0.5,47172628,all,False,0,78.35,78.04,74.98,80.83,78.35,78.04,74.98,80.83,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
swir,nir,0.0001,0.01,128,0.75,0.5,0.4,0.5,47172628,all,False,0,74.61,86.37,86.11,87.54,75.43,86.50,86.43,87.54,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_nir.pt
swir,vre,0.0001,0.01,128,0.75,0.5,0.4,0.5,47369492,all,False,0,84.09,86.09,81.67,87.56,84.09,86.31,83.74,87.56,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_vre.pt
rgb,nir,0.0001,0.01,128,0.75,0.2,0.2,0.5,47172628,all,False,0,77.98,88.69,86.48,91.41,77.98,88.69,86.89,91.41,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
swir,rgb,0.0001,0.01,128,0.75,0.5,0.4,0.5,47369492,all,False,0,83.83,86.98,85.87,89.57,84.83,87.07,85.87,89.57,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_rgb.pt
rgb,vre,0.0001,0.01,128,0.75,0.2,0.2,0.5,47369492,all,False,0,85.28,88.52,83.06,90.96,85.28,88.59,83.63,90.96,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
nir,swir,0.0001,0.01,128,0.75,0.2,0.2,0.5,47172628,all,False,0,80.91,78.65,69.65,83.63,81.76,78.65,71.04,83.63,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
vre,nir,0.0001,0.01,128,0.75,0.2,0.2,0.5,47172628,all,False,0,75.00,90.39,89.78,89.63,75.00,90.28,89.33,89.63,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_nir.pt
nir,vre,0.0001,0.01,128,0.75,0.2,0.2,0.5,47172628,all,False,0,78.63,78.81,69.94,80.83,78.63,78.81,71.41,80.83,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
nir,rgb,0.0001,0.01,128,0.75,0.2,0.2,0.5,47172628,all,False,0,79.57,79.28,63.74,84.96,77.83,79.07,65.93,84.96,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
rgb,swir,0.0001,0.01,128,0.75,0.2,0.2,0.5,47369492,all,False,0,83.00,88.57,82.22,90.48,83.00,88.33,83.59,90.48,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
vre,swir,0.0001,0.01,128,0.75,0.2,0.2,0.5,47369492,all,False,0,85.33,90.07,89.19,90.00,85.15,90.50,89.54,90.00,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_swir.pt
vre,rgb,0.0001,0.01,128,0.75,0.2,0.2,0.5,47369492,all,False,0,84.43,90.43,89.83,90.85,84.43,90.17,90.00,90.85,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_rgb.pt
swir,vre,0.0001,0.01,128,0.75,0.2,0.2,0.5,47369492,all,False,0,84.17,85.80,80.94,88.28,84.17,85.85,81.80,88.28,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_vre.pt
swir,rgb,0.0001,0.01,128,0.75,0.2,0.2,0.5,47369492,all,False,0,83.69,86.63,87.04,89.37,83.69,86.56,86.57,89.37,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_rgb.pt
swir,nir,0.0001,0.01,128,0.75,0.2,0.2,0.5,47172628,all,False,0,71.83,85.74,85.80,87.50,71.83,85.93,85.11,87.50,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_nir.pt
rgb,nir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47172628,all,False,0,78.09,86.44,86.93,90.41,78.22,87.43,88.13,90.41,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
rgb,vre,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,83.59,88.24,85.28,90.26,84.00,88.24,86.50,90.26,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
rgb,swir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,81.70,88.59,83.46,90.24,83.07,88.59,83.52,90.24,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
vre,rgb,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,84.96,90.15,89.80,91.44,86.17,90.15,89.37,91.44,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_rgb.pt
vre,nir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47172628,all,False,0,77.56,89.80,89.06,89.39,77.56,90.76,90.02,89.39,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_nir.pt
nir,vre,0.0001,0.01,128,0.75,0.5,0.2,0.5,47172628,all,False,0,78.04,79.65,74.57,80.35,78.04,79.17,75.22,80.35,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_vre.pt
vre,swir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,84.33,90.52,89.67,90.41,83.63,90.52,90.15,90.41,checkpoints/vre_randinit_fft.pt,checkpoints/vre_to_swir.pt
nir,rgb,0.0001,0.01,128,0.75,0.5,0.2,0.5,47172628,all,False,0,77.19,79.24,61.19,84.57,80.09,79.24,69.30,84.57,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_rgb.pt
nir,swir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47172628,all,False,0,79.07,78.93,72.24,83.02,79.07,79.24,76.28,83.02,checkpoints/nir_randinit_fft.pt,checkpoints/nir_to_swir.pt
swir,rgb,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,83.06,87.17,86.35,88.48,83.15,87.17,86.35,88.48,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_rgb.pt
swir,vre,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,83.91,86.11,82.96,88.22,83.46,85.83,84.74,88.22,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_vre.pt
swir,nir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47172628,all,False,0,75.76,85.69,85.06,87.13,76.06,85.69,85.46,87.13,checkpoints/swir_randinit_fft.pt,checkpoints/swir_to_nir.pt
rgb,nir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47172628,all,False,0,77.98,87.46,88.41,89.87,79.26,88.04,88.85,89.87,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_nir.pt
rgb,vre,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,83.76,88.44,83.72,90.30,84.17,88.44,86.93,90.30,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_vre.pt
rgb,swir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,82.67,88.41,82.06,90.22,83.87,88.41,84.76,90.22,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
rgb,swir,0.0001,0.01,128,0.75,0.5,0.2,0.5,47369492,all,False,0,80.09,87.56,86.80,89.41,83.26,87.78,86.80,89.41,checkpoints/rgb_randinit_fft.pt,checkpoints/rgb_to_swir.pt
